"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Multiple Cause of death"	"Multiple Cause of death Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2022 "	"2022"	"< 1 year"	"1"	"Asphyxiation"	"T71"	17	57882	Unreliable
	"Alabama"	"01"	"2022 "	"2022"	"1-4 years"	"1-4"	"Drowning and nonfatal submersion"	"T75.1"	16	232417	Unreliable
	"Alabama"	"01"	"2022 "	"2022"	"5-14 years"	"5-14"	"Open wound of head, part unspecified"	"S01.9"	11	623720	Unreliable
	"Alabama"	"01"	"2022 "	"2022"	"5-14 years"	"5-14"	"Open wound of unspecified body region"	"T14.1"	19	623720	Unreliable
	"Alabama"	"01"	"2022 "	"2022"	"5-14 years"	"5-14"	"Injury, unspecified"	"T14.9"	11	623720	Unreliable
	"Alabama"	"01"	"2022 "	"2022"	"15-24 years"	"15-24"	"Open wound of head, part unspecified"	"S01.9"	113	689564	16.4
	"Alabama"	"01"	"2022 "	"2022"	"15-24 years"	"15-24"	"Intracranial injury, unspecified"	"S06.9"	40	689564	5.8
	"Alabama"	"01"	"2022 "	"2022"	"15-24 years"	"15-24"	"Unspecified injury of head"	"S09.9"	18	689564	Unreliable
	"Alabama"	"01"	"2022 "	"2022"	"15-24 years"	"15-24"	"Open wound of neck, part unspecified"	"S11.9"	13	689564	Unreliable
	"Alabama"	"01"	"2022 "	"2022"	"15-24 years"	"15-24"	"Open wound of thorax, part unspecified"	"S21.9"	35	689564	5.1
	"Alabama"	"01"	"2022 "	"2022"	"15-24 years"	"15-24"	"Injury of heart, unspecified"	"S26.9"	10	689564	Unreliable
	"Alabama"	"01"	"2022 "	"2022"	"15-24 years"	"15-24"	"Other injuries of lung"	"S27.3"	16	689564	Unreliable
	"Alabama"	"01"	"2022 "	"2022"	"15-24 years"	"15-24"	"Multiple open wounds, unspecified"	"T01.9"	63	689564	9.1
	"Alabama"	"01"	"2022 "	"2022"	"15-24 years"	"15-24"	"Unspecified multiple injuries"	"T07"	35	689564	5.1
	"Alabama"	"01"	"2022 "	"2022"	"15-24 years"	"15-24"	"Open wound of trunk, level unspecified"	"T09.1"	19	689564	Unreliable
	"Alabama"	"01"	"2022 "	"2022"	"15-24 years"	"15-24"	"Unspecified injury of trunk, level unspecified"	"T09.9"	38	689564	5.5
	"Alabama"	"01"	"2022 "	"2022"	"15-24 years"	"15-24"	"Open wound of unspecified body region"	"T14.1"	183	689564	26.5
	"Alabama"	"01"	"2022 "	"2022"	"15-24 years"	"15-24"	"Injury, unspecified"	"T14.9"	66	689564	9.6
	"Alabama"	"01"	"2022 "	"2022"	"15-24 years"	"15-24"	"Burn of unspecified body region, unspecified degree"	"T30.0"	10	689564	Unreliable
	"Alabama"	"01"	"2022 "	"2022"	"15-24 years"	"15-24"	"Other synthetic narcotics"	"T40.4"	59	689564	8.6
	"Alabama"	"01"	"2022 "	"2022"	"15-24 years"	"15-24"	"Psychostimulants with abuse potential"	"T43.6"	18	689564	Unreliable
	"Alabama"	"01"	"2022 "	"2022"	"15-24 years"	"15-24"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	43	689564	6.2
	"Alabama"	"01"	"2022 "	"2022"	"15-24 years"	"15-24"	"Ethanol"	"T51.0"	12	689564	Unreliable
	"Alabama"	"01"	"2022 "	"2022"	"15-24 years"	"15-24"	"Asphyxiation"	"T71"	13	689564	Unreliable
	"Alabama"	"01"	"2022 "	"2022"	"15-24 years"	"15-24"	"Drowning and nonfatal submersion"	"T75.1"	12	689564	Unreliable
	"Alabama"	"01"	"2022 "	"2022"	"25-34 years"	"25-34"	"Open wound of head, part unspecified"	"S01.9"	109	657905	16.6
	"Alabama"	"01"	"2022 "	"2022"	"25-34 years"	"25-34"	"Intracranial injury, unspecified"	"S06.9"	27	657905	4.1
	"Alabama"	"01"	"2022 "	"2022"	"25-34 years"	"25-34"	"Unspecified injury of head"	"S09.9"	42	657905	6.4
	"Alabama"	"01"	"2022 "	"2022"	"25-34 years"	"25-34"	"Unspecified injury of neck"	"S19.9"	10	657905	Unreliable
	"Alabama"	"01"	"2022 "	"2022"	"25-34 years"	"25-34"	"Open wound of back wall of thorax"	"S21.2"	12	657905	Unreliable
	"Alabama"	"01"	"2022 "	"2022"	"25-34 years"	"25-34"	"Open wound of thorax, part unspecified"	"S21.9"	34	657905	5.2
	"Alabama"	"01"	"2022 "	"2022"	"25-34 years"	"25-34"	"Injury of thoracic aorta"	"S25.0"	13	657905	Unreliable
