"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Multiple Cause of death"	"Multiple Cause of death Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2019"	"2019"	"< 1 year"	"1"	"Asphyxiation"	"T71"	14	56901	Unreliable
	"Alabama"	"01"	"2019"	"2019"	"1-4 years"	"1-4"	"Drowning and nonfatal submersion"	"T75.1"	16	237456	Unreliable
	"Alabama"	"01"	"2019"	"2019"	"5-14 years"	"5-14"	"Open wound of head, part unspecified"	"S01.9"	13	608466	Unreliable
	"Alabama"	"01"	"2019"	"2019"	"5-14 years"	"5-14"	"Open wound of unspecified body region"	"T14.1"	12	608466	Unreliable
	"Alabama"	"01"	"2019"	"2019"	"15-24 years"	"15-24"	"Open wound of head, part unspecified"	"S01.9"	90	635707	14.2
	"Alabama"	"01"	"2019"	"2019"	"15-24 years"	"15-24"	"Intracranial injury, unspecified"	"S06.9"	37	635707	5.8
	"Alabama"	"01"	"2019"	"2019"	"15-24 years"	"15-24"	"Unspecified injury of head"	"S09.9"	30	635707	4.7
	"Alabama"	"01"	"2019"	"2019"	"15-24 years"	"15-24"	"Unspecified injury of neck"	"S19.9"	11	635707	Unreliable
	"Alabama"	"01"	"2019"	"2019"	"15-24 years"	"15-24"	"Open wound of back wall of thorax"	"S21.2"	11	635707	Unreliable
	"Alabama"	"01"	"2019"	"2019"	"15-24 years"	"15-24"	"Open wound of thorax, part unspecified"	"S21.9"	18	635707	Unreliable
	"Alabama"	"01"	"2019"	"2019"	"15-24 years"	"15-24"	"Other injuries of lung"	"S27.3"	17	635707	Unreliable
	"Alabama"	"01"	"2019"	"2019"	"15-24 years"	"15-24"	"Multiple open wounds, unspecified"	"T01.9"	30	635707	4.7
	"Alabama"	"01"	"2019"	"2019"	"15-24 years"	"15-24"	"Unspecified multiple injuries"	"T07"	71	635707	11.2
	"Alabama"	"01"	"2019"	"2019"	"15-24 years"	"15-24"	"Open wound of trunk, level unspecified"	"T09.1"	21	635707	3.3
	"Alabama"	"01"	"2019"	"2019"	"15-24 years"	"15-24"	"Unspecified injury of trunk, level unspecified"	"T09.9"	22	635707	3.5
	"Alabama"	"01"	"2019"	"2019"	"15-24 years"	"15-24"	"Open wound of unspecified body region"	"T14.1"	110	635707	17.3
	"Alabama"	"01"	"2019"	"2019"	"15-24 years"	"15-24"	"Injury, unspecified"	"T14.9"	53	635707	8.3
	"Alabama"	"01"	"2019"	"2019"	"15-24 years"	"15-24"	"Other synthetic narcotics"	"T40.4"	16	635707	Unreliable
	"Alabama"	"01"	"2019"	"2019"	"15-24 years"	"15-24"	"Benzodiazepines"	"T42.4"	11	635707	Unreliable
	"Alabama"	"01"	"2019"	"2019"	"15-24 years"	"15-24"	"Psychostimulants with abuse potential"	"T43.6"	15	635707	Unreliable
	"Alabama"	"01"	"2019"	"2019"	"15-24 years"	"15-24"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	32	635707	5.0
	"Alabama"	"01"	"2019"	"2019"	"15-24 years"	"15-24"	"Ethanol"	"T51.0"	10	635707	Unreliable
	"Alabama"	"01"	"2019"	"2019"	"15-24 years"	"15-24"	"Asphyxiation"	"T71"	37	635707	5.8
	"Alabama"	"01"	"2019"	"2019"	"15-24 years"	"15-24"	"Drowning and nonfatal submersion"	"T75.1"	15	635707	Unreliable
	"Alabama"	"01"	"2019"	"2019"	"25-34 years"	"25-34"	"Open wound of head, part unspecified"	"S01.9"	97	647229	15.0
	"Alabama"	"01"	"2019"	"2019"	"25-34 years"	"25-34"	"Intracranial injury, unspecified"	"S06.9"	26	647229	4.0
	"Alabama"	"01"	"2019"	"2019"	"25-34 years"	"25-34"	"Unspecified injury of head"	"S09.9"	35	647229	5.4
	"Alabama"	"01"	"2019"	"2019"	"25-34 years"	"25-34"	"Open wound of thorax, part unspecified"	"S21.9"	28	647229	4.3
	"Alabama"	"01"	"2019"	"2019"	"25-34 years"	"25-34"	"Injury of heart, unspecified"	"S26.9"	11	647229	Unreliable
	"Alabama"	"01"	"2019"	"2019"	"25-34 years"	"25-34"	"Other injuries of lung"	"S27.3"	20	647229	3.1
	"Alabama"	"01"	"2019"	"2019"	"25-34 years"	"25-34"	"Unspecified injury of thorax"	"S29.9"	10	647229	Unreliable
	"Alabama"	"01"	"2019"	"2019"	"25-34 years"	"25-34"	"Multiple open wounds, unspecified"	"T01.9"	51	647229	7.9
	"Alabama"	"01"	"2019"	"2019"	"25-34 years"	"25-34"	"Unspecified multiple injuries"	"T07"	75	647229	11.6
