"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Multiple Cause of death"	"Multiple Cause of death Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2015"	"2015"	"< 1 year"	"1"	"Asphyxiation"	"T71"	10	58017	Unreliable
	"Alabama"	"01"	"2015"	"2015"	"15-24 years"	"15-24"	"Open wound of head, part unspecified"	"S01.9"	79	663182	11.9
	"Alabama"	"01"	"2015"	"2015"	"15-24 years"	"15-24"	"Intracranial injury, unspecified"	"S06.9"	20	663182	3.0
	"Alabama"	"01"	"2015"	"2015"	"15-24 years"	"15-24"	"Unspecified injury of head"	"S09.9"	37	663182	5.6
	"Alabama"	"01"	"2015"	"2015"	"15-24 years"	"15-24"	"Open wound of thorax, part unspecified"	"S21.9"	18	663182	Unreliable
	"Alabama"	"01"	"2015"	"2015"	"15-24 years"	"15-24"	"Multiple open wounds, unspecified"	"T01.9"	26	663182	3.9
	"Alabama"	"01"	"2015"	"2015"	"15-24 years"	"15-24"	"Unspecified multiple injuries"	"T07"	69	663182	10.4
	"Alabama"	"01"	"2015"	"2015"	"15-24 years"	"15-24"	"Unspecified injury of trunk, level unspecified"	"T09.9"	26	663182	3.9
	"Alabama"	"01"	"2015"	"2015"	"15-24 years"	"15-24"	"Open wound of unspecified body region"	"T14.1"	107	663182	16.1
	"Alabama"	"01"	"2015"	"2015"	"15-24 years"	"15-24"	"Injury, unspecified"	"T14.9"	55	663182	8.3
	"Alabama"	"01"	"2015"	"2015"	"15-24 years"	"15-24"	"Burn of unspecified body region, unspecified degree"	"T30.0"	10	663182	Unreliable
	"Alabama"	"01"	"2015"	"2015"	"15-24 years"	"15-24"	"Heroin"	"T40.1"	14	663182	Unreliable
	"Alabama"	"01"	"2015"	"2015"	"15-24 years"	"15-24"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	41	663182	6.2
	"Alabama"	"01"	"2015"	"2015"	"15-24 years"	"15-24"	"Asphyxiation"	"T71"	25	663182	3.8
	"Alabama"	"01"	"2015"	"2015"	"15-24 years"	"15-24"	"Drowning and nonfatal submersion"	"T75.1"	21	663182	3.2
	"Alabama"	"01"	"2015"	"2015"	"25-34 years"	"25-34"	"Open wound of head, part unspecified"	"S01.9"	85	632726	13.4
	"Alabama"	"01"	"2015"	"2015"	"25-34 years"	"25-34"	"Intracranial injury, unspecified"	"S06.9"	27	632726	4.3
	"Alabama"	"01"	"2015"	"2015"	"25-34 years"	"25-34"	"Unspecified injury of head"	"S09.9"	32	632726	5.1
	"Alabama"	"01"	"2015"	"2015"	"25-34 years"	"25-34"	"Open wound of thorax, part unspecified"	"S21.9"	27	632726	4.3
	"Alabama"	"01"	"2015"	"2015"	"25-34 years"	"25-34"	"Injury of thoracic aorta"	"S25.0"	10	632726	Unreliable
	"Alabama"	"01"	"2015"	"2015"	"25-34 years"	"25-34"	"Injury of heart, unspecified"	"S26.9"	13	632726	Unreliable
	"Alabama"	"01"	"2015"	"2015"	"25-34 years"	"25-34"	"Other injuries of lung"	"S27.3"	21	632726	3.3
	"Alabama"	"01"	"2015"	"2015"	"25-34 years"	"25-34"	"Multiple open wounds, unspecified"	"T01.9"	42	632726	6.6
	"Alabama"	"01"	"2015"	"2015"	"25-34 years"	"25-34"	"Unspecified multiple injuries"	"T07"	52	632726	8.2
	"Alabama"	"01"	"2015"	"2015"	"25-34 years"	"25-34"	"Open wound of trunk, level unspecified"	"T09.1"	15	632726	Unreliable
	"Alabama"	"01"	"2015"	"2015"	"25-34 years"	"25-34"	"Unspecified injury of trunk, level unspecified"	"T09.9"	38	632726	6.0
	"Alabama"	"01"	"2015"	"2015"	"25-34 years"	"25-34"	"Open wound of unspecified body region"	"T14.1"	137	632726	21.7
	"Alabama"	"01"	"2015"	"2015"	"25-34 years"	"25-34"	"Injury, unspecified"	"T14.9"	64	632726	10.1
	"Alabama"	"01"	"2015"	"2015"	"25-34 years"	"25-34"	"Heroin"	"T40.1"	38	632726	6.0
	"Alabama"	"01"	"2015"	"2015"	"25-34 years"	"25-34"	"Other opioids"	"T40.2"	16	632726	Unreliable
	"Alabama"	"01"	"2015"	"2015"	"25-34 years"	"25-34"	"Methadone"	"T40.3"	12	632726	Unreliable
	"Alabama"	"01"	"2015"	"2015"	"25-34 years"	"25-34"	"Other synthetic narcotics"	"T40.4"	25	632726	4.0
