"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Multiple Cause of death"	"Multiple Cause of death Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2021"	"2021"	"< 1 year"	"1"	"Unspecified injury of head"	"S09.9"	11	55812	Unreliable
	"Alabama"	"01"	"2021"	"2021"	"< 1 year"	"1"	"Asphyxiation"	"T71"	10	55812	Unreliable
	"Alabama"	"01"	"2021"	"2021"	"1-4 years"	"1-4"	"Drowning and nonfatal submersion"	"T75.1"	11	235990	Unreliable
	"Alabama"	"01"	"2021"	"2021"	"5-14 years"	"5-14"	"Open wound of head, part unspecified"	"S01.9"	14	634228	Unreliable
	"Alabama"	"01"	"2021"	"2021"	"15-24 years"	"15-24"	"Open wound of head, part unspecified"	"S01.9"	103	652715	15.8
	"Alabama"	"01"	"2021"	"2021"	"15-24 years"	"15-24"	"Intracranial injury, unspecified"	"S06.9"	31	652715	4.7
	"Alabama"	"01"	"2021"	"2021"	"15-24 years"	"15-24"	"Unspecified injury of head"	"S09.9"	32	652715	4.9
	"Alabama"	"01"	"2021"	"2021"	"15-24 years"	"15-24"	"Unspecified injury of neck"	"S19.9"	10	652715	Unreliable
	"Alabama"	"01"	"2021"	"2021"	"15-24 years"	"15-24"	"Open wound of thorax, part unspecified"	"S21.9"	33	652715	5.1
	"Alabama"	"01"	"2021"	"2021"	"15-24 years"	"15-24"	"Injury of heart, unspecified"	"S26.9"	13	652715	Unreliable
	"Alabama"	"01"	"2021"	"2021"	"15-24 years"	"15-24"	"Other injuries of lung"	"S27.3"	27	652715	4.1
	"Alabama"	"01"	"2021"	"2021"	"15-24 years"	"15-24"	"Open wound of other and unspecified parts of abdomen"	"S31.8"	12	652715	Unreliable
	"Alabama"	"01"	"2021"	"2021"	"15-24 years"	"15-24"	"Multiple open wounds, unspecified"	"T01.9"	66	652715	10.1
	"Alabama"	"01"	"2021"	"2021"	"15-24 years"	"15-24"	"Unspecified multiple injuries"	"T07"	51	652715	7.8
	"Alabama"	"01"	"2021"	"2021"	"15-24 years"	"15-24"	"Open wound of trunk, level unspecified"	"T09.1"	28	652715	4.3
	"Alabama"	"01"	"2021"	"2021"	"15-24 years"	"15-24"	"Unspecified injury of trunk, level unspecified"	"T09.9"	39	652715	6.0
	"Alabama"	"01"	"2021"	"2021"	"15-24 years"	"15-24"	"Open wound of unspecified body region"	"T14.1"	193	652715	29.6
	"Alabama"	"01"	"2021"	"2021"	"15-24 years"	"15-24"	"Injury, unspecified"	"T14.9"	55	652715	8.4
	"Alabama"	"01"	"2021"	"2021"	"15-24 years"	"15-24"	"Other synthetic narcotics"	"T40.4"	66	652715	10.1
	"Alabama"	"01"	"2021"	"2021"	"15-24 years"	"15-24"	"Cocaine"	"T40.5"	10	652715	Unreliable
	"Alabama"	"01"	"2021"	"2021"	"15-24 years"	"15-24"	"Psychostimulants with abuse potential"	"T43.6"	22	652715	3.4
	"Alabama"	"01"	"2021"	"2021"	"15-24 years"	"15-24"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	43	652715	6.6
	"Alabama"	"01"	"2021"	"2021"	"15-24 years"	"15-24"	"Asphyxiation"	"T71"	13	652715	Unreliable
	"Alabama"	"01"	"2021"	"2021"	"15-24 years"	"15-24"	"Drowning and nonfatal submersion"	"T75.1"	10	652715	Unreliable
	"Alabama"	"01"	"2021"	"2021"	"25-34 years"	"25-34"	"Open wound of head, part unspecified"	"S01.9"	143	656423	21.8
	"Alabama"	"01"	"2021"	"2021"	"25-34 years"	"25-34"	"Intracranial injury, unspecified"	"S06.9"	36	656423	5.5
	"Alabama"	"01"	"2021"	"2021"	"25-34 years"	"25-34"	"Unspecified injury of head"	"S09.9"	33	656423	5.0
	"Alabama"	"01"	"2021"	"2021"	"25-34 years"	"25-34"	"Open wound of neck, part unspecified"	"S11.9"	12	656423	Unreliable
	"Alabama"	"01"	"2021"	"2021"	"25-34 years"	"25-34"	"Unspecified injury of neck"	"S19.9"	13	656423	Unreliable
	"Alabama"	"01"	"2021"	"2021"	"25-34 years"	"25-34"	"Open wound of back wall of thorax"	"S21.2"	10	656423	Unreliable
	"Alabama"	"01"	"2021"	"2021"	"25-34 years"	"25-34"	"Open wound of thorax, part unspecified"	"S21.9"	43	656423	6.6
	"Alabama"	"01"	"2021"	"2021"	"25-34 years"	"25-34"	"Injury of thoracic aorta"	"S25.0"	12	656423	Unreliable
	"Alabama"	"01"	"2021"	"2021"	"25-34 years"	"25-34"	"Injury of heart, unspecified"	"S26.9"	11	656423	Unreliable
	"Alabama"	"01"	"2021"	"2021"	"25-34 years"	"25-34"	"Other injuries of lung"	"S27.3"	29	656423	4.4
	"Alabama"	"01"	"2021"	"2021"	"25-34 years"	"25-34"	"Open wound of other and unspecified parts of abdomen"	"S31.8"	11	656423	Unreliable
	"Alabama"	"01"	"2021"	"2021"	"25-34 years"	"25-34"	"Injury of liver or gallbladder"	"S36.1"	13	656423	Unreliable
	"Alabama"	"01"	"2021"	"2021"	"25-34 years"	"25-34"	"Multiple open wounds, unspecified"	"T01.9"	65	656423	9.9
	"Alabama"	"01"	"2021"	"2021"	"25-34 years"	"25-34"	"Unspecified multiple injuries"	"T07"	58	656423	8.8
	"Alabama"	"01"	"2021"	"2021"	"25-34 years"	"25-34"	"Open wound of trunk, level unspecified"	"T09.1"	29	656423	4.4
	"Alabama"	"01"	"2021"	"2021"	"25-34 years"	"25-34"	"Unspecified injury of trunk, level unspecified"	"T09.9"	38	656423	5.8
	"Alabama"	"01"	"2021"	"2021"	"25-34 years"	"25-34"	"Open wound of unspecified body region"	"T14.1"	216	656423	32.9
	"Alabama"	"01"	"2021"	"2021"	"25-34 years"	"25-34"	"Injury, unspecified"	"T14.9"	103	656423	15.7
	"Alabama"	"01"	"2021"	"2021"	"25-34 years"	"25-34"	"Heroin"	"T40.1"	39	656423	5.9
	"Alabama"	"01"	"2021"	"2021"	"25-34 years"	"25-34"	"Other opioids"	"T40.2"	36	656423	5.5
	"Alabama"	"01"	"2021"	"2021"	"25-34 years"	"25-34"	"Methadone"	"T40.3"	10	656423	Unreliable
	"Alabama"	"01"	"2021"	"2021"	"25-34 years"	"25-34"	"Other synthetic narcotics"	"T40.4"	228	656423	34.7
