"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Multiple Cause of death"	"Multiple Cause of death Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2017"	"2017"	"1-4 years"	"1-4"	"Unspecified injury of head"	"S09.9"	10	235652	Unreliable
	"Alabama"	"01"	"2017"	"2017"	"1-4 years"	"1-4"	"Drowning and nonfatal submersion"	"T75.1"	11	235652	Unreliable
	"Alabama"	"01"	"2017"	"2017"	"5-14 years"	"5-14"	"Open wound of head, part unspecified"	"S01.9"	10	609744	Unreliable
	"Alabama"	"01"	"2017"	"2017"	"5-14 years"	"5-14"	"Unspecified injury of head"	"S09.9"	12	609744	Unreliable
	"Alabama"	"01"	"2017"	"2017"	"15-24 years"	"15-24"	"Open wound of head, part unspecified"	"S01.9"	93	648404	14.3
	"Alabama"	"01"	"2017"	"2017"	"15-24 years"	"15-24"	"Intracranial injury, unspecified"	"S06.9"	33	648404	5.1
	"Alabama"	"01"	"2017"	"2017"	"15-24 years"	"15-24"	"Unspecified injury of head"	"S09.9"	38	648404	5.9
	"Alabama"	"01"	"2017"	"2017"	"15-24 years"	"15-24"	"Open wound of thorax, part unspecified"	"S21.9"	33	648404	5.1
	"Alabama"	"01"	"2017"	"2017"	"15-24 years"	"15-24"	"Injury of heart, unspecified"	"S26.9"	10	648404	Unreliable
	"Alabama"	"01"	"2017"	"2017"	"15-24 years"	"15-24"	"Other injuries of lung"	"S27.3"	17	648404	Unreliable
	"Alabama"	"01"	"2017"	"2017"	"15-24 years"	"15-24"	"Injury of liver or gallbladder"	"S36.1"	10	648404	Unreliable
	"Alabama"	"01"	"2017"	"2017"	"15-24 years"	"15-24"	"Multiple open wounds, unspecified"	"T01.9"	35	648404	5.4
	"Alabama"	"01"	"2017"	"2017"	"15-24 years"	"15-24"	"Unspecified multiple injuries"	"T07"	48	648404	7.4
	"Alabama"	"01"	"2017"	"2017"	"15-24 years"	"15-24"	"Open wound of trunk, level unspecified"	"T09.1"	17	648404	Unreliable
	"Alabama"	"01"	"2017"	"2017"	"15-24 years"	"15-24"	"Unspecified injury of trunk, level unspecified"	"T09.9"	31	648404	4.8
	"Alabama"	"01"	"2017"	"2017"	"15-24 years"	"15-24"	"Open wound of unspecified body region"	"T14.1"	123	648404	19.0
	"Alabama"	"01"	"2017"	"2017"	"15-24 years"	"15-24"	"Injury, unspecified"	"T14.9"	60	648404	9.3
	"Alabama"	"01"	"2017"	"2017"	"15-24 years"	"15-24"	"Heroin"	"T40.1"	11	648404	Unreliable
	"Alabama"	"01"	"2017"	"2017"	"15-24 years"	"15-24"	"Other opioids"	"T40.2"	10	648404	Unreliable
	"Alabama"	"01"	"2017"	"2017"	"15-24 years"	"15-24"	"Other synthetic narcotics"	"T40.4"	14	648404	Unreliable
	"Alabama"	"01"	"2017"	"2017"	"15-24 years"	"15-24"	"Benzodiazepines"	"T42.4"	10	648404	Unreliable
	"Alabama"	"01"	"2017"	"2017"	"15-24 years"	"15-24"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	40	648404	6.2
	"Alabama"	"01"	"2017"	"2017"	"15-24 years"	"15-24"	"Asphyxiation"	"T71"	31	648404	4.8
	"Alabama"	"01"	"2017"	"2017"	"25-34 years"	"25-34"	"Open wound of head, part unspecified"	"S01.9"	98	640302	15.3
	"Alabama"	"01"	"2017"	"2017"	"25-34 years"	"25-34"	"Intracranial injury, unspecified"	"S06.9"	30	640302	4.7
	"Alabama"	"01"	"2017"	"2017"	"25-34 years"	"25-34"	"Unspecified injury of head"	"S09.9"	25	640302	3.9
	"Alabama"	"01"	"2017"	"2017"	"25-34 years"	"25-34"	"Open wound of thorax, part unspecified"	"S21.9"	33	640302	5.2
	"Alabama"	"01"	"2017"	"2017"	"25-34 years"	"25-34"	"Injury of thoracic aorta"	"S25.0"	12	640302	Unreliable
	"Alabama"	"01"	"2017"	"2017"	"25-34 years"	"25-34"	"Injury of heart, unspecified"	"S26.9"	12	640302	Unreliable
	"Alabama"	"01"	"2017"	"2017"	"25-34 years"	"25-34"	"Other injuries of lung"	"S27.3"	23	640302	3.6
	"Alabama"	"01"	"2017"	"2017"	"25-34 years"	"25-34"	"Open wound of other and unspecified parts of abdomen"	"S31.8"	10	640302	Unreliable
	"Alabama"	"01"	"2017"	"2017"	"25-34 years"	"25-34"	"Injury of liver or gallbladder"	"S36.1"	10	640302	Unreliable
	"Alabama"	"01"	"2017"	"2017"	"25-34 years"	"25-34"	"Multiple open wounds, unspecified"	"T01.9"	50	640302	7.8
	"Alabama"	"01"	"2017"	"2017"	"25-34 years"	"25-34"	"Unspecified multiple injuries"	"T07"	73	640302	11.4
	"Alabama"	"01"	"2017"	"2017"	"25-34 years"	"25-34"	"Open wound of trunk, level unspecified"	"T09.1"	16	640302	Unreliable
	"Alabama"	"01"	"2017"	"2017"	"25-34 years"	"25-34"	"Unspecified injury of trunk, level unspecified"	"T09.9"	41	640302	6.4
	"Alabama"	"01"	"2017"	"2017"	"25-34 years"	"25-34"	"Open wound of unspecified body region"	"T14.1"	142	640302	22.2
	"Alabama"	"01"	"2017"	"2017"	"25-34 years"	"25-34"	"Injury, unspecified"	"T14.9"	63	640302	9.8
	"Alabama"	"01"	"2017"	"2017"	"25-34 years"	"25-34"	"Heroin"	"T40.1"	40	640302	6.2
	"Alabama"	"01"	"2017"	"2017"	"25-34 years"	"25-34"	"Other opioids"	"T40.2"	31	640302	4.8
	"Alabama"	"01"	"2017"	"2017"	"25-34 years"	"25-34"	"Other synthetic narcotics"	"T40.4"	69	640302	10.8
	"Alabama"	"01"	"2017"	"2017"	"25-34 years"	"25-34"	"Cocaine"	"T40.5"	25	640302	3.9
	"Alabama"	"01"	"2017"	"2017"	"25-34 years"	"25-34"	"Benzodiazepines"	"T42.4"	32	640302	5.0
	"Alabama"	"01"	"2017"	"2017"	"25-34 years"	"25-34"	"Psychostimulants with abuse potential"	"T43.6"	38	640302	5.9
	"Alabama"	"01"	"2017"	"2017"	"25-34 years"	"25-34"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	115	640302	18.0
	"Alabama"	"01"	"2017"	"2017"	"25-34 years"	"25-34"	"Ethanol"	"T51.0"	25	640302	3.9
