"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Multiple Cause of death"	"Multiple Cause of death Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2018"	"2018"	"< 1 year"	"1"	"Asphyxiation"	"T71"	10	56739	Unreliable
	"Alabama"	"01"	"2018"	"2018"	"1-4 years"	"1-4"	"Drowning and nonfatal submersion"	"T75.1"	12	236464	Unreliable
	"Alabama"	"01"	"2018"	"2018"	"15-24 years"	"15-24"	"Open wound of head, part unspecified"	"S01.9"	103	640900	16.1
	"Alabama"	"01"	"2018"	"2018"	"15-24 years"	"15-24"	"Intracranial injury, unspecified"	"S06.9"	29	640900	4.5
	"Alabama"	"01"	"2018"	"2018"	"15-24 years"	"15-24"	"Unspecified injury of head"	"S09.9"	20	640900	3.1
	"Alabama"	"01"	"2018"	"2018"	"15-24 years"	"15-24"	"Open wound of thorax, part unspecified"	"S21.9"	24	640900	3.7
	"Alabama"	"01"	"2018"	"2018"	"15-24 years"	"15-24"	"Injury of thoracic aorta"	"S25.0"	10	640900	Unreliable
	"Alabama"	"01"	"2018"	"2018"	"15-24 years"	"15-24"	"Injury of heart, unspecified"	"S26.9"	11	640900	Unreliable
	"Alabama"	"01"	"2018"	"2018"	"15-24 years"	"15-24"	"Other injuries of lung"	"S27.3"	24	640900	3.7
	"Alabama"	"01"	"2018"	"2018"	"15-24 years"	"15-24"	"Injury of liver or gallbladder"	"S36.1"	12	640900	Unreliable
	"Alabama"	"01"	"2018"	"2018"	"15-24 years"	"15-24"	"Multiple open wounds, unspecified"	"T01.9"	40	640900	6.2
	"Alabama"	"01"	"2018"	"2018"	"15-24 years"	"15-24"	"Unspecified multiple injuries"	"T07"	68	640900	10.6
	"Alabama"	"01"	"2018"	"2018"	"15-24 years"	"15-24"	"Open wound of trunk, level unspecified"	"T09.1"	21	640900	3.3
	"Alabama"	"01"	"2018"	"2018"	"15-24 years"	"15-24"	"Unspecified injury of trunk, level unspecified"	"T09.9"	34	640900	5.3
	"Alabama"	"01"	"2018"	"2018"	"15-24 years"	"15-24"	"Open wound of unspecified body region"	"T14.1"	135	640900	21.1
	"Alabama"	"01"	"2018"	"2018"	"15-24 years"	"15-24"	"Injury, unspecified"	"T14.9"	51	640900	8.0
	"Alabama"	"01"	"2018"	"2018"	"15-24 years"	"15-24"	"Heroin"	"T40.1"	13	640900	Unreliable
	"Alabama"	"01"	"2018"	"2018"	"15-24 years"	"15-24"	"Other synthetic narcotics"	"T40.4"	12	640900	Unreliable
	"Alabama"	"01"	"2018"	"2018"	"15-24 years"	"15-24"	"Psychostimulants with abuse potential"	"T43.6"	11	640900	Unreliable
	"Alabama"	"01"	"2018"	"2018"	"15-24 years"	"15-24"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	23	640900	3.6
	"Alabama"	"01"	"2018"	"2018"	"15-24 years"	"15-24"	"Other specified gases, fumes and vapours"	"T59.8"	10	640900	Unreliable
	"Alabama"	"01"	"2018"	"2018"	"15-24 years"	"15-24"	"Asphyxiation"	"T71"	43	640900	6.7
	"Alabama"	"01"	"2018"	"2018"	"15-24 years"	"15-24"	"Drowning and nonfatal submersion"	"T75.1"	13	640900	Unreliable
	"Alabama"	"01"	"2018"	"2018"	"25-34 years"	"25-34"	"Open wound of head, part unspecified"	"S01.9"	112	643540	17.4
	"Alabama"	"01"	"2018"	"2018"	"25-34 years"	"25-34"	"Intracranial injury, unspecified"	"S06.9"	35	643540	5.4
	"Alabama"	"01"	"2018"	"2018"	"25-34 years"	"25-34"	"Unspecified injury of head"	"S09.9"	37	643540	5.7
	"Alabama"	"01"	"2018"	"2018"	"25-34 years"	"25-34"	"Open wound of neck, part unspecified"	"S11.9"	15	643540	Unreliable
	"Alabama"	"01"	"2018"	"2018"	"25-34 years"	"25-34"	"Unspecified injury of neck"	"S19.9"	14	643540	Unreliable
