"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Multiple Cause of death"	"Multiple Cause of death Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2016"	"2016"	"< 1 year"	"1"	"Asphyxiation"	"T71"	20	58269	34.3
	"Alabama"	"01"	"2016"	"2016"	"1-4 years"	"1-4"	"Drowning and nonfatal submersion"	"T75.1"	10	234296	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"15-24 years"	"15-24"	"Open wound of head, part unspecified"	"S01.9"	88	653876	13.5
	"Alabama"	"01"	"2016"	"2016"	"15-24 years"	"15-24"	"Intracranial injury, unspecified"	"S06.9"	26	653876	4.0
	"Alabama"	"01"	"2016"	"2016"	"15-24 years"	"15-24"	"Unspecified injury of head"	"S09.9"	44	653876	6.7
	"Alabama"	"01"	"2016"	"2016"	"15-24 years"	"15-24"	"Open wound of neck, part unspecified"	"S11.9"	10	653876	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"15-24 years"	"15-24"	"Open wound of thorax, part unspecified"	"S21.9"	20	653876	3.1
	"Alabama"	"01"	"2016"	"2016"	"15-24 years"	"15-24"	"Other injuries of lung"	"S27.3"	18	653876	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"15-24 years"	"15-24"	"Unspecified injury of thorax"	"S29.9"	11	653876	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"15-24 years"	"15-24"	"Multiple open wounds, unspecified"	"T01.9"	47	653876	7.2
	"Alabama"	"01"	"2016"	"2016"	"15-24 years"	"15-24"	"Unspecified multiple injuries"	"T07"	73	653876	11.2
	"Alabama"	"01"	"2016"	"2016"	"15-24 years"	"15-24"	"Open wound of trunk, level unspecified"	"T09.1"	17	653876	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"15-24 years"	"15-24"	"Unspecified injury of trunk, level unspecified"	"T09.9"	34	653876	5.2
	"Alabama"	"01"	"2016"	"2016"	"15-24 years"	"15-24"	"Open wound of unspecified body region"	"T14.1"	152	653876	23.2
